aah	A
converse	KNFRS
conversed	KNFRST
conversely	KNFRSL
conversing	KNFRSNK
conversion	KNFRXN
convert	KNFRT
converted	KNFRTT
converter	KNFRTR
convertibility	KNFRTBLT
convertible	KNFRTBL
converting	KNFRTNK
convex	KNFKS
convexity	KNFKST
convexly	KNFKSL
convey	KNF
conveyable	KNFYBL
conveyance	KNFYNS
conveyancing	KNFYNSNK
conveyed	KNFYT
conveying	KNFYNK
conveyor	KNFYR
convict	KNFKT
convicted	KNFKTT
convicting	KNFKTNK
conviction	KNFKXN
convince	KNFNS
convinced	KNFNST
convincing	KNFNSNK
convincingly	KNFNSNKL
convivial	KNFFL
conviviality	KNFFLT
convivially	KNFFL
convocation	KNFKXN
convoke	KNFK
convoked	KNFKT
convoking	KNFKNK
convoluted	KNFLTT
convolution	KNFLXN
convoy	KNF
convoyed	KNFYT
convoying	KNFYNK
convulse	KNFLS
convulsed	KNFLST
convulsing	KNFLSNK
convulsion	KNFLXN
convulsive	KNFLSF
convulsively	KNFLSFL
cony	KN
coo	K
cooed	KT
cooing	KNK
cook	KK
cookbook	KKBK
cooked	KKT
cooker	KKR
cookery	KKR
cookhouse	KKHS
cookie	KK
cooking	KKNK
cookout	KKT
cookware	KKWR
cool	KL
coolant	KLNT
cooled	KLT
cooler	KLR
coolest	KLST
coolie	KL
cooling	KLNK
coolly	KL
coolness	KLNS
coon	KN
coonskin	KNSKN
coop	KP
cooped	KPT
cooper	KPR
cooperage	KPRJ
cooperate	KPRT
cooperated	KPRTT
cooperating	KPRTNK
cooperation	KPRXN
cooperative	KPRTF
cooperatively	KPRTFL
cooperativeness	KPRTFNS
cooperator	KPRTR
coopered	KPRT
coopering	KPRNK
cooping	KPNK
coordinate	KRTNT
coordinated	KRTNTT
coordinately	KRTNTL
coordinating	KRTNTNK
coordination	KRTNXN
coordinator	KRTNTR
coot	KT
cootie	KT
cop	KP
copacetic	KPSTK
copay	KP
cope	KP
coped	KPT
copied	KPT
copier	KPR
copilot	KPLT
coping	KPNK
copious	KPS
copiously	KPSL
copiousness	KPSNS
copped	KPT
copper	KPR
copperhead	KPRHT
copperplate	KPRPLT
coppery	KPR
copping	KPNK
copra	KPR
copse	KPS
copter	KPTR
copula	KPL
copulate	KPLT
copulated	KPLTT
copulating	KPLTNK
copulation	KPLXN
copulative	KPLTF
copy	KP
copybook	KPBK
copycat	KPKT
copycatted	KPKTT
copycatting	KPKTNK
copying	KPYNK
copyist	KPYST
copyleft	KPLFT
copyright	KPRFT
copyrighted	KPRFTT
copyrighting	KPRFTNK
copywriter	KPRTR
coquetry	KKTR
coquette	KKT
coquetted	KKTT
coquetting	KKTNK
coquettish	KKTX
coquettishly	KKTXL
coracle	KRKL
coral	KRL
corbel	KRBL
cord	KRT
cordage	KRTJ
corded	KRTT
cordial	KRTL
cordiality	KRTLT
cordially	KRTL
cordillera	KRTLR
cording	KRTNK
cordite	KRTT
cordless	KRTLS
cordon	KRTN
cordoned	KRTNT
cordoning	KRTNNK
cordovan	KRTFN
corduroy	KRTR
core	KR
cored	KRT
coreligionist	KRLJNST
corer	KRR
corespondent	KRSPNTNT
corgi	KRJ
coriander	KRNTR
coring	KRNK
cork	KRK
corkage	KRKJ
corked	KRKT
corker	KRKR
corking	KRKNK
corkscrew	KRKSKR
corkscrewed	KRKSKRWT
corkscrewing	KRKSKRWNK
corm	KRM
cormorant	KRMRNT
corn	KRN
cornball	KRNBL
cornbread	KRNBRT
corncob	KRNKB
corncrake	KRNKRK
cornea	KRN
corneal	KRNL
corned	KRNT
corner	KRNR
cornered	KRNRT
cornering	KRNRNK
cornerstone	KRNRSTN
cornet	KRNT
cornfield	KRNFLT
cornflake	KRNFLK
cornflour	KRNFLR
cornflower	KRNFLWR
cornice	KRNS
cornier	KRNR
corniest	KRNST
cornily	KRNL
corniness	KRNNS
corning	KRNNK
cornmeal	KRNML
cornrow	KRNR
cornrowed	KRNRWT
cornrowing	KRNRWNK
cornstalk	KRNSTLK
cornstarch	KRNSTRX
cornucopia	KRNKP
corny	KRN
corolla	KRL
corollary	KRLR
corona	KRN
coronal	KRNL
coronary	KRNR
coronation	KRNXN
coroner	KRNR
coronet	KRNT
corp	KRP
corpora	KRPR
corporal	KRPRL
corporate	KRPRT
corporately	KRPRTL
corporation	KRPRXN
corporatism	KRPRTSM
corporeal	KRPRL
corporeality	KRPRLT
corporeally	KRPRL
corpse	KRPS
corpsman	KRPSMN
corpsmen	KRPSMN
corpulence	KRPLNS
corpulent	KRPLNT
corpus	KRPS
corpuscle	KRPSKL
corpuscular	KRPSKLR
corral	KRL
corralled	KRLT
corralling	KRLNK
correct	KRKT
correctable	KRKTBL
corrected	KRKTT
correcter	KRKTR
correctest	KRKTST
correcting	KRKTNK
correction	KRKXN
correctional	KRKXNL
corrective	KRKTF
correctly	KRKTL
correctness	KRKTNS
corrector	KRKTR
correlate	KRLT
correlated	KRLTT
correlating	KRLTNK
correlation	KRLXN
correlative	KRLTF
correspond	KRSPNT
corresponded	KRSPNTT
correspondence	KRSPNTNS
correspondent	KRSPNTNT
corresponding	KRSPNTNK
correspondingly	KRSPNTNKL
corridor	KRTR
corrie	KR
corroborate	KRBRT
corroborated	KRBRTT
corroborating	KRBRTNK
corroboration	KRBRXN
corroborative	KRBRTF
corroborator	KRBRTR
corroboratory	KRBRTR
corrode	KRT
corroded	KRTT
corroding	KRTNK
corrosion	KRXN
corrosive	KRSF
corrosively	KRSFL
corrugate	KRKT
corrugated	KRKTT
corrugating	KRKTNK
corrugation	KRKXN
corrupt	KRPT
corrupted	KRPTT
corrupter	KRPTR
corruptest	KRPTST
corruptibility	KRPTBLT
corruptible	KRPTBL
corrupting	KRPTNK
corruption	KRPXN
corruptly	KRPTL
corruptness	KRPTNS
corsage	KRSJ
corsair	KRSR
corset	KRST
corseted	KRSTT
corseting	KRSTNK
cortege	KRTJ
cortex	KRTKS
cortical	KRTKL
cortices	KRTSS
cortisone	KRTSN
corundum	KRNTM
coruscate	KRSKT
coruscated	KRSKTT
coruscating	KRSKTNK
coruscation	KRSKXN
corvette	KRFT
cos	KS
cosh	KX
coshed	KXT
coshing	KXNK
cosign	KSN
cosignatory	KSKNTR
cosigned	KSNT
cosigner	KSKNR
cosigning	KSKNNK
cosine	KSN
cosmetic	KSMTK
cosmetically	KSMTKL
cosmetician	KSMTXN
cosmetologist	KSMTLJST
cosmetology	KSMTLJ
cosmic	KSMK
cosmically	KSMKL
cosmogonist	KSMKNST
cosmogony	KSMKN
cosmological	KSMLJKL
cosmologist	KSMLJST
cosmology	KSMLJ
cosmonaut	KSMNT
cosmopolitan	KSMPLTN
cosmopolitanism	KSMPLTNSM
cosmos	KSMS
cosplay	KSPL
cosponsor	KSPNSR
cosponsored	KSPNSRT
cosponsoring	KSPNSRNK
cosset	KST
cosseted	KSTT
cosseting	KSTNK
cossetted	KSTT
cossetting	KSTNK
cost	KST
costar	KSTR
costarred	KSTRT
costarring	KSTRNK
costed	KSTT
costing	KSTNK
costlier	KSTLR
costliest	KSTLST
costliness	KSTLNS
costly	KSTL
costume	KSTM
costumed	KSTMT
costumer	KSTMR
costumier	KSTMR
costuming	KSTMNK
cot	KT
cotangent	KTNJNT
cote	KT
coterie	KTR
coterminous	KTRMNS
cotillion	KTLN
cottage	KTJ
cottager	KTJR
cottaging	KTJNK
cottar	KTR
cotter	KTR
cotton	KTN
cottoned	KTNT
cottoning	KTNNK
cottonmouth	KTNM0
cottonseed	KTNST
cottontail	KTNTL
cottonwood	KTNWT
cottony	KTN
cotyledon	KTLTN
couch	KX
couched	KXT
couchette	KXT
couching	KXNK
cougar	KKR
cough	KF
coughed	KFT
coughing	KFNK
could	KLT
coulee	KL
coulis	KLS
coulomb	KLM
council	KNSL
councilman	KNSLMN
councilmen	KNSLMN
councilor	KNSLR
councilperson	KNSLPRSN
councilwoman	KNSLWMN
councilwomen	KNSLWMN
counsel	KNSL
counseled	KNSLT
counseling	KNSLNK
counselor	KNSLR
count	KNT
countable	KNTBL
countably	KNTBL
countdown	KNTTN
counted	KNTT
countenance	KNTNNS
countenanced	KNTNNST
countenancing	KNTNNSNK
counter	KNTR
counteract	KNTRKT
counteracted	KNTRKTT
counteracting	KNTRKTNK
counteraction	KNTRKXN
counteractive	KNTRKTF
counterargument	KNTRRKMNT
counterattack	KNTRTK
counterattacked	KNTRTKT
counterattacking	KNTRTKNK
counterbalance	KNTRBLNS
counterbalanced	KNTRBLNST
counterbalancing	KNTRBLNSNK
counterblast	KNTRBLST
counterclaim	KNTRKLM
counterclaimed	KNTRKLMT
counterclaiming	KNTRKLMNK
counterclockwise	KNTRKLKWS
counterculture	KNTRKLTR
countered	KNTRT
counterespionage	KNTRSPNJ
counterexample	KNTRKSMPL
counterfactual	KNTRFKTL
counterfeit	KNTRFT
counterfeited	KNTRFTT
counterfeiter	KNTRFTR
counterfeiting	KNTRFTNK
counterfoil	KNTRFL
countering	KNTRNK
counterinsurgency	KNTRNSRJNS
counterintelligence	KNTRNTLJNS
counterman	KNTRMN
countermand	KNTRMNT
countermanded	KNTRMNTT
countermanding	KNTRMNTNK
countermeasure	KNTRMSR
countermen	KNTRMN
counteroffensive	KNTRFNSF
counteroffer	KNTRFR
counterpane	KNTRPN
counterpart	KNTRPRT
counterpoint	KNTRPNT
counterpointed	KNTRPNTT
counterpointing	KNTRPNTNK
counterpoise	KNTRPS
counterpoised	KNTRPST
counterpoising	KNTRPSNK
counterproductive	KNTRPRTKTF
counterrevolution	KNTRFLXN
counterrevolutionary	KNTRFLXNR
countersign	KNTRSN
countersignature	KNTRSKNTR
countersigned	KNTRSNT
countersigning	KNTRSKNNK
countersink	KNTRSNK
countersinking	KNTRSNKNK
counterspy	KNTRSP
countersunk	KNTRSNK
countertenor	KNTRTNR
countervail	KNTRFL
countervailed	KNTRFLT
countervailing	KNTRFLNK
counterweight	KNTRWFT
countess	KNTS
counting	KNTNK
countless	KNTLS
countrified	KNTRFT
country	KNTR
countryman	KNTRMN
countrymen	KNTRMN
countryside	KNTRST
countrywide	KNTRWT
countrywoman	KNTRWMN
countrywomen	KNTRWMN
county	KNT
countywide	KNTWT
coup	KP
coupe	KP
couple	KPL
coupled	KPLT
couplet	KPLT
coupling	KPLNK
coupon	KPN
courage	KRJ
courageous	KRJS
courageously	KRJSL
courageousness	KRJSNS
courgette	KRJT
courier	KRR
couriered	KRRT
couriering	KRRNK
course	KRS
coursebook	KRSBK
coursed	KRST
courser	KRSR
coursework	KRSWRK
coursing	KRSNK
court	KRT
courted	KRTT
courteous	KRTS
courteously	KRTSL
courteousness	KRTSNS
courtesan	KRTSN
courtesy	KRTS
courthouse	KR0S
courtier	KRTR
courting	KRTNK
courtlier	KRTLR
courtliest	KRTLST
courtliness	KRTLNS
courtly	KRTL
courtroom	KRTRM
courtship	KRTXP
courtyard	KRTYRT
couscous	KSKS
cousin	KSN
couture	KTR
couturier	KTRR
cove	KF
coven	KFN
covenant	KFNNT
covenanted	KFNNTT
covenanting	KFNNTNK
cover	KFR
coverage	KFRJ
coverall	KFRL
covered	KFRT
covering	KFRNK
coverlet	KFRLT
covert	KFRT
covertly	KFRTL
covertness	KFRTNS
covet	KFT
coveted	KFTT
coveting	KFTNK
covetous	KFTS
covetously	KFTSL
covetousness	KFTSNS
covey	KF
cow	K
coward	KWRT
cowardice	KWRTS
cowardliness	KWRTLNS
cowardly	KWRTL
cowbell	KBL
cowbird	KBRT
cowboy	KB
cowcatcher	KKXR
cowed	KWT
cower	KWR
cowered	KWRT
cowering	KWRNK
cowgirl	KJRL
cowhand	KHNT
cowherd	KHRT
cowhide	KHT
cowing	KWNK
cowl	KL
cowlick	KLK
cowling	KLNK
cowman	KMN
cowmen	KMN
coworker	KWRKR
cowpat	KPT
cowpoke	KPK
cowpox	KPKS
cowpuncher	KPNXR
cowrie	KR
cowshed	KXT
cowslip	KSLP
cox	KKS
coxcomb	KKSKM
coxed	KKST
coxes	KKSS
coxing	KKSNK
coxswain	KKSSWN
coy	K
coyer	KYR
coyest	KYST
coyly	KL
coyness	KNS
coyote	KYT
coypu	KP
cozen	KSN
cozenage	KSNJ
cozened	KSNT
cozening	KSNNK
cozier	KSR
coziest	KSST
cozily	KSL
coziness	KSNS
cozy	KS
crab	KRB
crabbed	KRBT
crabber	KRBR
crabbier	KRBR
crabbiest	KRBST
crabbily	KRBL
crabbiness	KRBNS
crabbing	KRBNK
crabby	KRB
crabgrass	KRBKRS
crablike	KRBLK
crabwise	KRBWS
crack	KRK
crackdown	KRKTN
cracked	KRKT
cracker	KRKR
crackerjack	KRKRJK
crackhead	KRKHT
cracking	KRKNK
crackle	KRKL
crackled	KRKLT
crackling	KRKLNK
crackly	KRKL
crackpot	KRKPT
crackup	KRKP
cradle	KRTL
cradled	KRTLT
cradling	KRTLNK
craft	KRFT
crafted	KRFTT
craftier	KRFTR
craftiest	KRFTST
craftily	KRFTL
craftiness	KRFTNS
crafting	KRFTNK
craftsman	KRFTSMN
craftsmanship	KRFTSMNXP
craftsmen	KRFTSMN
craftspeople	KRFTSPPL
craftswoman	KRFTSWMN
craftswomen	KRFTSWMN
crafty	KRFT
crag	KRK
craggier	KRKR
craggiest	KRKST
cragginess	KRKNS
craggy	KRK
cram	KRM
crammed	KRMT
crammer	KRMR
cramming	KRMNK
cramp	KRMP
cramped	KRMPT
cramping	KRMPNK
crampon	KRMPN
cranberry	KRNBR
crane	KRN
craned	KRNT
cranial	KRNL
craning	KRNNK
cranium	KRNM
crank	KRNK
crankcase	KRNKKS
cranked	KRNKT
crankier	KRNKR
crankiest	KRNKST
crankily	KRNKL
crankiness	KRNKNS
cranking	KRNKNK
crankshaft	KRNKXFT
cranky	KRNK
crannied	KRNT
cranny	KRN
crap	KRP
crape	KRP
crapped	KRPT
crapper	KRPR
crappie	KRP
crappier	KRPR
crappiest	KRPST
crapping	KRPNK
crappy	KRP
crapshooter	KRPXTR
crash	KRX
crashed	KRXT
crashing	KRXNK
crass	KRS
crasser	KRSR
crassest	KRSST
crassly	KRSL
crassness	KRSNS
crate	KRT
crated	KRTT
crater	KRTR
cratered	KRTRT
cratering	KRTRNK
crating	KRTNK
cravat	KRFT
crave	KRF
craved	KRFT
craven	KRFN
cravenly	KRFNL
cravenness	KRFNS
craving	KRFNK
craw	KR
crawdad	KRTT
crawl	KRL
crawled	KRLT
crawler	KRLR
crawlier	KRLR
crawliest	KRLST
crawling	KRLNK
crawlspace	KRLSPS
crawly	KRL
cray	KR
crayfish	KRFX
crayola	KRYL
crayon	KRYN
crayoned	KRYNT
crayoning	KRYNNK
craze	KRS
crazed	KRST
crazier	KRSR
craziest	KRSST
crazily	KRSL
craziness	KRSNS
crazing	KRSNK
crazy	KRS
creak	KRK
creaked	KRKT
creakier	KRKR
creakiest	KRKST
creakily	KRKL
creakiness	KRKNS
creaking	KRKNK
creaky	KRK
cream	KRM
creamed	KRMT
creamer	KRMR
creamery	KRMR
creamier	KRMR
creamiest	KRMST
creamily	KRML
creaminess	KRMNS
creaming	KRMNK
creamy	KRM
crease	KRS
creased	KRST
creasing	KRSNK
create	KRT
created	KRTT
creating	KRTNK
creation	KRXN
creationism	KRXNSM
creationist	KRXNST
creative	KRTF
creatively	KRTFL
creativeness	KRTFNS
creativity	KRTFT
creator	KRTR
creature	KRTR
creche	KRX
cred	KRT
credence	KRTNS
credential	KRTNXL
credentialed	KRTNXLT
credentialing	KRTNXLNK
credenza	KRTNS
credibility	KRTBLT
credible	KRTBL
credibly	KRTBL
credit	KRTT
creditable	KRTTBL
creditably	KRTTBL
credited	KRTTT
crediting	KRTTNK
creditor	KRTTR
creditworthiness	KRTTWR0NS
creditworthy	KRTTWR0
credo	KRT
credulity	KRTLT
credulous	KRTLS
credulously	KRTLSL
credulousness	KRTLSNS
creed	KRT
creek	KRK
creel	KRL
creep	KRP
creeper	KRPR
creepier	KRPR
creepiest	KRPST
creepily	KRPL
creepiness	KRPNS
creeping	KRPNK
creepy	KRP
cremains	KRMNS
cremate	KRMT
cremated	KRMTT
cremating	KRMTNK
cremation	KRMXN
crematoria	KRMTR
crematorium	KRMTRM
crematory	KRMTR
creme	KRM
crenelate	KRNLT
crenelated	KRNLTT
crenelating	KRNLTNK
crenelation	KRNLXN
creole	KRL
creosote	KRST
creosoted	KRSTT
creosoting	KRSTNK
crepe	KRP
crept	KRPT
crepuscular	KRPSKLR
crescendo	KRSNT
crescent	KRSNT
cress	KRS
crest	KRST
crested	KRSTT
crestfallen	KRSTFLN
cresting	KRSTNK
crestless	KRSTLS
cretaceous	KRTSS
cretin	KRTN
cretinism	KRTNSM
cretinous	KRTNS
cretonne	KRTN
crevasse	KRFS
crevice	KRFS
crew	KR
crewed	KRWT
crewel	KRWL
crewelwork	KRWLWRK
crewing	KRWNK
crewman	KRMN
crewmen	KRMN
crib	KRB
cribbage	KRBJ
cribbed	KRBT
cribber	KRBR
cribbing	KRBNK
crick	KRK
cricked	KRKT
cricket	KRKT
cricketer	KRKTR
cricketing	KRKTNK
cricking	KRKNK
cried	KRT
crier	KRR
cries	KRS
crikey	KRK
crime	KRM
criminal	KRMNL
criminality	KRMNLT
criminalize	KRMNLS
criminalized	KRMNLST
criminalizing	KRMNLSNK
criminally	KRMNL
criminologist	KRMNLJST
criminology	KRMNLJ
crimp	KRMP
crimped	KRMPT
crimping	KRMPNK
crimson	KRMSN
crimsoned	KRMSNT
crimsoning	KRMSNNK
cringe	KRNJ
cringed	KRNJT
cringing	KRNJNK
crinkle	KRNKL
crinkled	KRNKLT
crinklier	KRNKLR
crinkliest	KRNKLST
crinkling	KRNKLNK
crinkly	KRNKL
crinoline	KRNLN
cripes	KRPS
cripple	KRPL
crippled	KRPLT
crippler	KRPLR
crippleware	KRPLWR
crippling	KRPLNK
cripplingly	KRPLNKL
crises	KRSS
crisis	KRSS
crisp	KRSP
crispbread	KRSPBRT
crisped	KRSPT
crisper	KRSPR
crispest	KRSPST
crispier	KRSPR
crispiest	KRSPST
crispiness	KRSPNS
crisping	KRSPNK
crisply	KRSPL
crispness	KRSPNS
crispy	KRSP
crisscross	KRSKRS
crisscrossed	KRSKRST
crisscrossing	KRSKRSNK
criteria	KRTR
criterion	KRTRN
critic	KRTK
critical	KRTKL
critically	KRTKL
criticism	KRTSSM
criticize	KRTSS
criticized	KRTSST
criticizer	KRTSSR
criticizing	KRTSSNK
critique	KRTK
critiqued	KRTKT
critiquing	KRTKNK
critter	KRTR
croak	KRK
croaked	KRKT
croakier	KRKR
croakiest	KRKST
croaking	KRKNK
croaky	KRK
crochet	KRXT
crocheted	KRXTT
crocheter	KRXTR
crocheting	KRXTNK
crock	KRK
crocked	KRKT
crockery	KRKR
crocodile	KRKTL
crocus	KRKS
croft	KRFT
crofter	KRFTR
crofting	KRFTNK
croissant	KRSNT
crone	KRN
crony	KRN
cronyism	KRNYSM
crook	KRK
crooked	KRKT
crookeder	KRKTR
crookedest	KRKTST
crookedly	KRKTL
crookedness	KRKTNS
crooking	KRKNK
crookneck	KRKNK
croon	KRN
crooned	KRNT
crooner	KRNR
crooning	KRNNK
crop	KRP
cropland	KRPLNT
cropped	KRPT
cropper	KRPR
cropping	KRPNK
croquet	KRKT
croquette	KRKT
crosier	KRSR
cross	KRS
crossbar	KRSBR
crossbeam	KRSBM
crossbones	KRSBNS
crossbow	KRSB
crossbowman	KRSBMN
crossbowmen	KRSBMN
crossbred	KRSBRT
crossbreed	KRSBRT
crossbreeding	KRSBRTNK
crosscheck	KRSXK
crosschecked	KRSXKT
crosschecking	KRSXKNK
crosscurrent	KRSKRNT
crosscut	KRSKT
crosscutting	KRSKTNK
crossed	KRST
crosser	KRSR
crossest	KRSST
crossfire	KRSFR
crosshatch	KRSX
crosshatched	KRSXT
crosshatching	KRSXNK
crossing	KRSNK
crossly	KRSL
crossness	KRSNS
crossover	KRSFR
crosspatch	KRSPX
crosspiece	KRSPS
crossroad	KRSRT
crosstown	KRSTN
crosswalk	KRSWLK
crosswind	KRSWNT
crosswise	KRSWS
crossword	KRSWRT
crotch	KRX
crotchet	KRXT
crotchety	KRXT
crouch	KRX
crouched	KRXT
crouching	KRXNK
croup	KRP
croupier	KRPR
croupiest	KRPST
croupy	KRP
crouton	KRTN
crow	KR
crowbar	KRBR
crowd	KRT
crowded	KRTT
crowdfund	KRTFNT
crowdfunded	KRTFNTT
crowdfunding	KRTFNTNK
crowding	KRTNK
crowed	KRWT
crowfeet	KRFT
crowfoot	KRFT
crowing	KRWNK
crown	KRN
crowned	KRNT
crowning	KRNNK
crucial	KRXL
crucially	KRXL
crucible	KRSBL
crucified	KRSFT
crucifix	KRSFKS
crucifixes	KRSFKSS
crucifixion	KRSFKSN
cruciform	KRSFRM
crucify	KRSF
crucifying	KRSFYNK
crud	KRT
cruddier	KRTR
cruddiest	KRTST
cruddy	KRT
crude	KRT
crudely	KRTL
crudeness	KRTNS
cruder	KRTR
crudest	KRTST
crudites	KRTTS
crudity	KRTT
cruel	KRL
crueler	KRLR
cruelest	KRLST
cruelly	KRL
cruelness	KRLNS
cruelty	KRLT
cruet	KRT
cruft	KRFT
crufted	KRFTT
crufty	KRFT
cruise	KRS
cruised	KRST
cruiser	KRSR
cruising	KRSNK
cruller	KRLR
crumb	KRM
crumbed	KRMT
crumbier	KRMR
crumbiest	KRMST
crumbing	KRMNK
crumble	KRML
crumbled	KRMLT
crumblier	KRMLR
crumbliest	KRMLST
crumbliness	KRMLNS
crumbling	KRMLNK
crumbly	KRML
crumby	KRM
crummier	KRMR
crummiest	KRMST
crumminess	KRMNS
crummy	KRM
crumpet	KRMPT
crumple	KRMPL
crumpled	KRMPLT
crumpling	KRMPLNK
crunch	KRNX
crunched	KRNXT
cruncher	KRNXR
crunchier	KRNXR
crunchiest	KRNXST
crunchiness	KRNXNS
crunching	KRNXNK
crunchy	KRNX
crupper	KRPR
crusade	KRST
crusaded	KRSTT
crusader	KRSTR
crusading	KRSTNK
cruse	KRS
crush	KRX
crushed	KRXT
crusher	KRXR
crushing	KRXNK
crushingly	KRXNKL
crust	KRST
crustacean	KRSTSN
crustal	KRSTL
crusted	KRSTT
crustier	KRSTR
crustiest	KRSTST
crustily	KRSTL
crustiness	KRSTNS
crusting	KRSTNK
crusty	KRST
crutch	KRX
crux	KRKS
cruxes	KRKSS
cry	KR
crybaby	KRBB
crying	KRYNK
cryogenic	KRYJNK
cryonics	KRYNKS
cryosurgery	KRYSRJR
crypt	KRPT
cryptic	KRPTK
cryptically	KRPTKL
cryptogram	KRPTKRM
cryptographer	KRPTKRFR
cryptography	KRPTKRF
crystal	KRSTL
crystalline	KRSTLN
crystallization	KRSTLSXN
crystallize	KRSTLS
crystallized	KRSTLST
crystallizing	KRSTLSNK
crystallographic	KRSTLKRFK
crystallography	KRSTLKRF
cub	KB
cubbyhole	KBHL
cube	KB
cubed	KBT
cuber	KBR
cubic	KBK
cubical	KBKL
cubicle	KBKL
cubing	KBNK
cubism	KBSM
cubist	KBST
cubit	KBT
cuboid	KBT
cuckold	KKLT
cuckolded	KKLTT
cuckolding	KKLTNK
cuckoldry	KKLTR
cuckoo	KK
cucumber	KKMR
cud	KT
cuddle	KTL
cuddled	KTLT
cuddlier	KTLR
cuddliest	KTLST
cuddling	KTLNK
cuddly	KTL
cudgel	KJL
cudgeled	KJLT
cudgeling	KJLNK
cue	K
cued	KT
cuff	KF
cuffed	KFT
cuffing	KFNK
cuing	KNK
cuisine	KSN
culinary	KLNR
cull	KL
culled	KLT
culling	KLNK
culminate	KLMNT
culminated	KLMNTT
culminating	KLMNTNK
culmination	KLMNXN
culotte	KLT
culpability	KLPBLT
culpable	KLPBL
culpably	KLPBL
culprit	KLPRT
cult	KLT
cultism	KLTSM
cultist	KLTST
cultivable	KLTFBL
cultivatable	KLTFTBL
cultivate	KLTFT
cultivated	KLTFTT
cultivating	KLTFTNK
cultivation	KLTFXN
cultivator	KLTFTR
cultural	KLTRL
culturally	KLTRL
culture	KLTR
cultured	KLTRT
culturing	KLTRNK
culvert	KLFRT
cum	KM
cumber	KMR
cumbered	KMRT
cumbering	KMRNK
cumbersome	KMRSM
cumbersomeness	KMRSMNS
cumbrous	KMRS
cumin	KMN
cummerbund	KMRBNT
cumming	KMNK
cumulative	KMLTF
cumulatively	KMLTFL
cumuli	KML
cumulonimbi	KMLNM
cumulonimbus	KMLNMS
cumulus	KMLS
cuneiform	KNFRM
cunnilingus	KNLNKS
cunning	KNNK
cunninger	KNNJR
cunningest	KNNJST
cunningly	KNNKL
cup	KP
cupboard	KPBRT
cupcake	KPKK
cupful	KPFL
cupid	KPT
cupidity	KPTT
cupola	KPL
cupolaed	KPLT
cuppa	KP
cupped	KPT
cupping	KPNK
cupric	KPRK
cur	KR
curability	KRBLT
curable	KRBL
curacao	KRK
curacy	KRS
curare	KRR
curate	KRT
curated	KRTT
curating	KRTNK
curative	KRTF
curator	KRTR
curatorial	KRTRL
curb	KRB
curbed	KRBT
curbing	KRBNK
curbside	KRBST
curbstone	KRBSTN
curd	KRT
curdle	KRTL
curdled	KRTLT
curdling	KRTLNK
cure	KR
cured	KRT
curer	KRR
curettage	KRTJ
curfew	KRF
curia	KR
curiae	KR
curie	KR
curing	KRNK
curio	KR
curiosity	KRST
curious	KRS
curiously	KRSL
curiousness	KRSNS
curium	KRM
curl	KRL
curled	KRLT
curler	KRLR
curlew	KRL
curlicue	KRLK
curlicued	KRLKT
curlicuing	KRLKNK
curlier	KRLR
curliest	KRLST
curliness	KRLNS
curling	KRLNK
curly	KRL
curmudgeon	KRMJN
curmudgeonly	KRMJNL
currant	KRNT
currency	KRNS
current	KRNT
currently	KRNTL
curricula	KRKL
curricular	KRKLR
curriculum	KRKLM
curried	KRT
curry	KR
currycomb	KRKM
currycombed	KRKMT
currycombing	KRKMNK
currying	KRYNK
curse	KRS
cursed	KRST
cursedly	KRSTL
cursing	KRSNK
cursive	KRSF
cursively	KRSFL
cursor	KRSR
cursorily	KRSRL
cursoriness	KRSRNS
cursory	KRSR
curt	KRT
curtail	KRTL
curtailed	KRTLT
curtailing	KRTLNK
curtailment	KRTLMNT
curtain	KRTN
curtained	KRTNT
curtaining	KRTNNK
curter	KRTR
curtest	KRTST
curtly	KRTL
curtness	KRTNS
curtsied	KRTST
curtsy	KRTS
curtsying	KRTSYNK
curvaceous	KRFSS
curvaceousness	KRFSSNS
curvature	KRFTR
curve	KRF
curved	KRFT
curvier	KRFR
curviest	KRFST
curving	KRFNK
curvy	KRF
cushier	KXR
cushiest	KXST
cushion	KXN
cushioned	KXNT
cushioning	KXNNK
cushy	KX
cusp	KSP
cuspid	KSPT
cuspidor	KSPTR
cuss	KS
cussed	KST
cussedly	KSTL
cussedness	KSTNS
cussing	KSNK
custard	KSTRT
custodial	KSTTL
custodian	KSTTN
custodianship	KSTTNXP
custody	KSTT
custom	KSTM
customarily	KSTMRL
customary	KSTMR
customer	KSTMR
customhouse	KSTMHS
customization	KSTMSXN
customize	KSTMS
customized	KSTMST
customizing	KSTMSNK
cut	KT
cutaneous	KTNS
cutaway	KTW
cutback	KTBK
cute	KT
cutely	KTL
cuteness	KTNS
cuter	KTR
cutesier	KTSR
cutesiest	KTSST
cutest	KTST
cutesy	KTS
cutey	KT
cuticle	KTKL
cutie	KT
cutlass	KTLS
cutler	KTLR
cutlery	KTLR
cutlet	KTLT
cutoff	KTF
cutout	KTT
cutter	KTR
cutthroat	KTRT
cutting	KTNK
cuttingly	KTNKL
cuttlefish	KTLFX
cutup	KTP
cutworm	KTWRM
cyan	SYN
cyanide	SYNT
cyberbully	SBRBL
cybercafe	SBRKF
cybernetic	SBRNTK
cyberpunk	SBRPNK
cybersex	SBRSKS
cyberspace	SBRSPS
cyborg	SBRK
cyclamen	SKLMN
cycle	SKL
cycled	SKLT
